6.859200000000000000e+04,8.228000000000000000e+03,9.671000000000000000e+03,1.666000000000000000e+03,1.600000000000000000e+01
6.658100000000000000e+04,8.969000000000000000e+03,8.494000000000000000e+03,1.524000000000000000e+03,1.500000000000000000e+01
6.395000000000000000e+04,1.010900000000000000e+04,7.092000000000000000e+03,1.382000000000000000e+03,1.400000000000000000e+01
5.990700000000000000e+04,1.343500000000000000e+04,6.215000000000000000e+03,1.368000000000000000e+03,1.300000000000000000e+01
4.476500000000000000e+04,1.606700000000000000e+04,5.066000000000000000e+03,1.116000000000000000e+03,1.200000000000000000e+01
4.274700000000000000e+04,2.167500000000000000e+04,4.301000000000000000e+03,1.017000000000000000e+03,1.100000000000000000e+01
4.026200000000000000e+04,2.358900000000000000e+04,3.551000000000000000e+03,9.090000000000000000e+02,1.000000000000000000e+01
3.728900000000000000e+04,2.894200000000000000e+04,2.900000000000000000e+03,8.130000000000000000e+02,9.000000000000000000e+00
3.467300000000000000e+04,2.765700000000000000e+04,2.375000000000000000e+03,7.240000000000000000e+02,8.000000000000000000e+00
3.126400000000000000e+04,2.635900000000000000e+04,1.753000000000000000e+03,6.370000000000000000e+02,7.000000000000000000e+00
2.813800000000000000e+04,2.470200000000000000e+04,1.373000000000000000e+03,5.640000000000000000e+02,6.000000000000000000e+00
2.443400000000000000e+04,2.326000000000000000e+04,1.018000000000000000e+03,4.930000000000000000e+02,5.000000000000000000e+00
2.053000000000000000e+04,2.321400000000000000e+04,7.180000000000000000e+02,4.260000000000000000e+02,4.000000000000000000e+00
1.734100000000000000e+04,2.155800000000000000e+04,5.270000000000000000e+02,3.610000000000000000e+02,3.000000000000000000e+00
1.449000000000000000e+04,1.954400000000000000e+04,4.340000000000000000e+02,3.040000000000000000e+02,2.000000000000000000e+00
1.190100000000000000e+04,1.798800000000000000e+04,2.750000000000000000e+02,2.590000000000000000e+02,1.000000000000000000e+00
9.811000000000000000e+03,1.523800000000000000e+04,2.140000000000000000e+02,2.130000000000000000e+02,3.100000000000000000e+01
8.149000000000000000e+03,1.216700000000000000e+04,1.350000000000000000e+02,1.710000000000000000e+02,3.000000000000000000e+01
6.095000000000000000e+03,9.239000000000000000e+03,1.190000000000000000e+02,1.330000000000000000e+02,2.900000000000000000e+01
4.630000000000000000e+03,6.973000000000000000e+03,7.300000000000000000e+01,1.060000000000000000e+02,2.800000000000000000e+01
2.857000000000000000e+03,5.794000000000000000e+03,5.600000000000000000e+01,8.200000000000000000e+01,2.700000000000000000e+01
2.076000000000000000e+03,2.692000000000000000e+03,4.900000000000000000e+01,5.600000000000000000e+01,2.600000000000000000e+01
1.408000000000000000e+03,2.032000000000000000e+03,3.900000000000000000e+01,4.200000000000000000e+01,2.500000000000000000e+01
8.970000000000000000e+02,1.076000000000000000e+03,3.600000000000000000e+01,2.600000000000000000e+01,2.400000000000000000e+01
